tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,,
13,481,1,1,1,0,0.001528,0.007624,0.009177,0,0,0,0,0,0,0,0,0,0,0,0,-0.287196,0.0568614,0.287256,-0.0762166,1,1,1,1,,,,,,
13,481,1,1,1,0,0.00146,0.007515,0.008978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
13,754,1,1,1,1,0.002325,0.1375,0,0,0,0,0,0,0.932609,0,0,0,0,0,0,0.0492024,0.0174907,-0.0491973,-0.0171896,1,1,1,1,,,,,,
14,105,1,1,1,0,0.001837,0.0108,0.01004,0,0,0,0,0,0,0,0,0,0,0,0,1.96055,0.253536,-1.95724,-0.25513,1,1,1,1,,,,,,
14,105,1,1,1,0,0.001819,0.010698,0.009589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
14,1293,1,1,1,1,0.001493,0.095671,0,0,0,0,0,0,1.013913,0,0,0,0,0,0,0.270272,0.0614977,-0.270163,-0.0544893,1,1,1,1,,,,,,
14,1644,1,1,1,1,0.001439,0.100499,0,0,0,0,0,0,1.071304,0,0,0,0,0,0,0.260478,0.0163375,-0.260374,-0.00905048,1,1,1,1,,,,,,
15,16,1,1,1,0,0.000689,0.006771,0.006951,0,0,0,0,0,0,0,0,0,0,0,0,-0.333974,0.0470919,0.334048,-0.0537446,1,1,1,1,,,,,,
15,1335,1,1,1,1,0.00066,0.055694,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.0820252,0.0254443,-0.082021,-0.0250904,1,1,1,1,,,,,,
15,1338,1,1,1,1,0.00066,0.055694,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.0820252,0.0254443,-0.082021,-0.0250904,1,1,1,1,,,,,,
15,1341,1,1,1,1,0.00066,0.055694,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.0820252,0.0254443,-0.082021,-0.0250904,1,1,1,1,,,,,,
15,1344,1,1,1,1,0.00066,0.055694,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.0820252,0.0254443,-0.082021,-0.0250904,1,1,1,1,,,,,,
15,1347,1,1,1,1,0.00066,0.055694,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,1.4314,0.353716,-1.43017,-0.249391,1,1,1,1,,,,,,
16,21,1,1,1,0,0.001406,0.008544,0.014458,0,0,0,0,0,0,0,0,0,0,0,0,-0.561682,0.104609,0.562116,-0.117315,1,1,1,1,,,,,,
16,1520,1,1,1,1,0.000569,0.123333,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0.448546,0.0655682,-0.448429,-0.0402423,1,1,1,1,,,,,,
16,1523,1,1,1,1,0.001045,0.120542,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0.433685,0.0520798,-0.433486,-0.0290974,1,1,1,1,,,,,,
17,18,1,1,1,0,0.002722,0.013715,0.013378,0,0,0,0,0,0,0,0,0,0,0,0,-0.892569,0.195531,0.894765,-0.198361,1,1,1,1,,,,,,
17,85,1,1,1,0,0.00121,0.005856,0.005946,0,0,0,0,0,0,0,0,0,0,0,0,-1.20138,-0.0859287,1.20307,0.0879173,1,1,1,1,,,,,,
17,92,1,1,1,0,0.010902,0.061732,0.089623,0,0,0,0,0,0,0,0,0,0,0,0,-0.606727,0.140302,0.610957,-0.209065,1,1,1,1,,,,,,
17,271,1,1,1,0,0.006163,0.0382,0.039523,0,0,0,0,0,0,0,0,0,0,0,0,3.14996,-0.246506,-3.12771,0.32177,1,1,1,1,,,,,,
17,271,1,1,1,0,0.003591,0.030132,0.043853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
17,1186,1,1,1,1,0.002242,0.155388,0,0,0,0,0,0,0.985,0,0,0,0,0,0,-0.190546,0.0208142,0.190623,-0.0154813,1,1,1,1,,,,,,
17,1189,1,1,1,1,0.001673,0.118541,0,0,0,0,0,0,1.06,0,0,0,0,0,0,-0.259269,0.0092453,0.259391,-0.000614377,1,1,1,1,,,,,,
18,656,1,1,1,1,0.003007,0.14,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.40927,0.0990991,0.409839,-0.0726253,1,1,1,1,,,,,,
18,861,1,1,1,1,0.003633,0.194,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.485488,0.0993006,0.486439,-0.0484986,1,1,1,1,,,,,,
19,20,1,1,1,0,0.000582,0.008027,0.491718,0,0,0,0,0,0,0,0,0,0,0,0,0.046958,-0.576904,-0.0469021,0.0544679,1,1,1,1,,,,,,
19,192,1,1,1,0,0.00026,0.00443,0.230467,0,0,0,0,0,0,0,0,0,0,0,0,1.68071,-0.934899,-1.67986,0.704059,1,1,1,1,,,,,,
19,668,1,1,1,1,0.00057,0.039649,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.72739,1.51214,1.73022,-1.31528,1,1,1,1,,,,,,
20,41,1,1,1,0,0.000531,0.006487,0.416086,0,0,0,0,0,0,0,0,0,0,0,0,2.09324,-0.978752,-2.09213,0.113042,1,1,1,1,,,,,,
20,41,1,1,1,0,0.000482,0.006508,0.407988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
20,266,1,1,1,0,0.000694,0.010051,0.583802,0,0,0,0,0,0,0,0,0,0,0,0,-0.812568,2.07841,0.816714,-2.62751,1,1,1,1,,,,,,
20,820,1,1,1,1,0.000133,0.017927,0,0,0,0,0,0,1,0,0,0,0,0,0,2.95412,1.03682,-2.9529,-0.872068,1,1,1,1,,,,,,
21,343,1,1,1,0,0.014911,0.085898,0.153078,0,0,0,0,0,0,0,0,0,0,0,0,0.115554,-0.129182,-0.115334,-0.0323944,1,1,1,1,,,,,,
21,606,1,1,1,1,0.001017,0.061212,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-1.3024,0.517915,1.30449,-0.392483,1,1,1,1,,,,,,
22,15,1,1,1,0,0.000121,0.001213,0.001545,0,0,0,0,0,0,0,0,0,0,0,0,1.4249,0.502665,-1.42464,-0.501701,1,1,1,1,,,,,,
22,21,1,1,1,0,0.003236,0.01569,0.01563,0,0,0,0,0,0,0,0,0,0,0,0,-0.624281,0.232493,0.624988,-0.270608,1,1,1,1,,,,,,
22,21,1,1,1,0,0.003378,0.017555,0.023576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
22,330,1,1,1,0,0.003442,0.019027,0.040651,0,0,0,0,0,0,0,0,0,0,0,0,0.131305,-0.19749,-0.131149,0.155004,1,1,1,1,,,,,,
22,1099,1,1,1,1,0.001142,0.120541,0,0,0,0,0,0,1,0,0,0,0,0,0,0.214603,0.0472145,-0.214551,-0.0417415,1,1,1,1,,,,,,
22,1102,1,1,1,1,0.001093,0.119582,0,0,0,0,0,0,1,0,0,0,0,0,0,0.214082,0.0483638,-0.214033,-0.0429471,1,1,1,1,,,,,,
23,16,1,1,1,0,0.002429,0.013435,0.020641,0,0,0,0,0,0,0,0,0,0,0,0,0.655206,0.053112,-0.654219,-0.0696158,1,1,1,1,,,,,,
23,24,1,1,1,0,0.015767,0.070038,0.075309,0,0,0,0,0,0,0,0,0,0,0,0,-0.0792231,0.0767229,0.0794693,-0.235502,1,1,1,1,,,,,,
23,24,1,1,1,0,0.018376,0.079203,0.075309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
23,343,1,1,1,0,0.011583,0.071461,0.116624,0,0,0,0,0,0,0,0,0,0,0,0,0.196182,-0.0909373,-0.195755,-0.0307925,1,1,1,1,,,,,,
23,1819,1,1,1,1,0.001388,0.100433,0,0,0,0,0,0,1.045,0,0,0,0,0,0,0.116302,0.0212806,-0.116282,-0.019843,1,1,1,1,,,,,,
23,1822,1,1,1,1,0.00138,0.100433,0,0,0,0,0,0,1.045,0,0,0,0,0,0,0.115211,0.0227966,-0.115192,-0.0213781,1,1,1,1,,,,,,
24,56,1,1,1,0,0.001516,0.011482,0.019655,0,0,0,0,0,0,0,0,0,0,0,0,0.251397,-0.146417,-0.25128,0.126522,1,1,1,1,,,,,,
24,520,1,1,1,0,0.002025,0.014611,0.02612,0,0,0,0,0,0,0,0,0,0,0,0,0.000735792,-0.0695354,-0.000729834,0.0419692,1,1,1,1,,,,,,
24,1105,1,1,1,1,0.001698,0.122374,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,0.398414,0.145183,-0.398109,-0.123155,1,1,1,1,,,,,,
24,2100,1,1,1,1,0.001998,0.122083,0,0,0,0,0,0,1.0625,0,0,0,0,0,0,0.619161,0.133988,-0.618304,-0.0816216,1,1,1,1,,,,,,
25,26,1,1,1,0,0.002735,0.012637,0.009455,0,0,0,0,0,0,0,0,0,0,0,0,-1.83156,0.520623,1.83388,-0.542217,1,1,1,1,,,,,,
25,26,1,1,1,0,0.002174,0.01228,0.010813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
25,26,1,1,1,0,0.001435,0.009735,0.012543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
