tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
238,1538,四川.镇江.220.3142,四川.镇江/2#变压器_h,1,1,1,0.001493,0.096767,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.189849,-0.104741,-0.189765,0.0390404,1,1,0,0
238,1947,四川.镇江.220.3142,四川.镇江/1#变压器_h,1,1,1,0.001531,0.093724,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.195436,-0.105473,-0.195345,0.0421542,1,1,0,0
239,240,四川.狮子坪厂.220.3445,四川.狮红线,1,1,0,0.001733,0.007382,0.009323,0,0,0,0,0,0,0,0,0,0,0,0,1.92237,0.0308082,-1.91536,-0.00766668,1,1,1,1
239,851,四川.狮子坪厂.220.3445,四川.狮子坪厂/1#变压器,1,1,1,0.00328,0.13966,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.649134,-0.00280091,0.65066,-0.0595995,1,1,1,1
239,852,四川.狮子坪厂.220.3445,四川.狮子坪厂/2#变压器,1,1,1,0.003251,0.139333,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.652548,0.00467509,0.65408,-0.0659718,1,1,1,1
239,853,四川.狮子坪厂.220.3445,四川.狮子坪厂/3#变压器,1,1,1,0.003157,0.140333,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.620683,-0.0326706,0.622018,-0.0364981,1,1,1,1
240,267,四川.红房子厂.220.1035,四川.红孟线,1,1,0,0.002215,0.017984,0.033379,0,0,0,0,0,0,0,0,0,0,0,0,2.74243,0.0859423,-2.72404,0.0471799,1,1,1,1
240,723,四川.红房子厂.220.1035,四川.红房子厂/2#变压器,1,1,1,0.004015,0.165066,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.495098,0.00183106,0.49621,-0.104706,1,1,1,1
240,929,四川.红房子厂.220.1035,四川.红房子厂/1#变压器_h,1,1,1,0.010291,0.1904,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.331977,-0.0801113,0.333228,-0.0702619,1,1,0,0
241,112,四川.桃乡.500.4303,四川.桃龙一线,1,1,0,0.000392,0.005499,0.309922,0,0,0,0,0,0,0,0,0,0,0,0,10.5396,-7.79424,-10.4915,8.4628,1,1,1,1
241,112,四川.桃乡.500.4303,四川.桃龙二线,1,1,0,0.00039,0.005506,0.325457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
241,186,四川.桃乡.500.4303,四川.山桃一线,1,1,0,0.000152,0.002594,0.142109,0,0,0,0,0,0,0,0,0,0,0,0,-27.3789,3.51297,27.4196,-2.83719,1,1,1,1
