tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1335,1336,四川.长顺ZXD,四川.长顺/2#变压器_m,1,1,1,0.000567,-0.005936,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.65026,-0.04916,0,0,1,1,1,1
1335,1337,四川.长顺ZXD,四川.长顺/2#变压器_l,1,1,1,0.001172,0.050662,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00125,0.00627,0,0,1,1,1,1
244,1338,四川.德胜.220.2937,四川.德胜/2#调压变,1,1,1,0.003705,0.212495,0,0,0,0,0,0,0.980435,0,0,0,0,0,0,0.19766,-0.07067,-0.1975,0.07956,1,1,1,1
194,1339,四川.纳溪.220.2836,四川.纳溪/2#变压器_h,1,1,1,0.001304,0.097,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.50595,0.0597,0,0,1,1,1,1
1339,1340,四川.纳溪ZXD,四川.纳溪/2#变压器_m,1,1,1,0.000673,-0.007127,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.50605,-0.03373,0,0,1,1,1,1
1339,1341,四川.纳溪ZXD,四川.纳溪/2#变压器_l,1,1,1,0.001463,0.05887,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00069,0.00027,0,0,1,1,1,1
20,1342,四川.寿溪桥.220.1590,四川.寿溪桥/1#变压器_h,1,1,1,0.001493,0.095671,0,0,0,0,0,0,1.0375,0,0,0,0,0,0,0.43122,0.04005,0,0,1,1,1,1
1342,1343,四川.寿溪桥ZXD,四川.寿溪桥/1#变压器_m,1,1,1,0.000624,-0.006994,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.42887,-0.02572,0,0,1,1,1,1
1342,1344,四川.寿溪桥ZXD,四川.寿溪桥/1#变压器_l,1,1,1,0.001853,0.057665,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0019,0.00384,0,0,1,1,1,1
519,1345,四川.西地.220.3243,四川.西地/1#变压器_h,1,1,1,0.015671,0.08,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0.02786,-0.00719,0,0,1,1,1,1
1345,1346,四川.西地ZXD,四川.西地/1#变压器_m,1,1,1,0.002,-0.01,0,0,0,0,0,0,1.040541,0,0,0,0,0,0,0.14388,0.01562,0,0,1,1,1,1
