tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
80,72,1,1,1,0,0.001998,0.015559,0.027356,0,0,0,0,0,0,0,0,0,0,0,0,-0.11236,-0.07383,0.11239,0.01928,1,1,1,1
81,82,1,1,1,0,0.000245,0.001182,0.001501,0,0,0,0,0,0,0,0,0,0,0,0,-0.52313,0.02996,0.5232,-0.03268,1,1,1,1
83,82,1,1,1,0,0.002479,0.013556,0.015012,0,0,0,0,0,0,0,0,0,0,0,0,-1.0932,-0.01603,1.09614,0.00176,1,1,1,1
83,82,1,1,1,0,0.00245,0.01362,0.014278,0,0,0,0,0,0,0,0,0,0,0,0,-1.08862,-0.01839,1.0915,0.00554,1,1,1,1
24,13,1,1,1,0,0.000568,0.006488,0.426457,0,0,0,0,0,0,0,0,0,0,0,0,-1.8066,-0.48425,1.80847,-0.34218,1,1,1,1
24,13,1,1,1,0,0.000482,0.006543,0.407503,0,0,0,0,0,0,0,0,0,0,0,0,-1.79238,-0.48974,1.79394,-0.29913,1,1,1,1
21,84,1,1,1,0,0.001129,0.007171,0.005946,0,0,0,0,0,0,0,0,0,0,0,0,-0.94038,0.01115,0.94136,-0.01706,1,1,1,1
85,86,1,1,1,0,0.001663,0.008255,0.00838,0,0,0,0,0,0,0,0,0,0,0,0,-0.6045,0.02087,0.6051,-0.03498,1,1,1,1
87,88,1,1,1,0,0.000728,0.005592,0.008571,0,0,0,0,0,0,0,0,0,0,0,0,1.71607,0.53034,-1.71372,-0.52931,1,1,1,1
89,15,1,1,1,0,0.001796,0.029334,1.757581,0,0,0,0,0,0,0,0,0,0,0,0,7.12936,-1.19253,-7.03928,2.552,1,1,1,1
21,90,1,1,1,0,0.010027,0.060658,0.089623,0,0,0,0,0,0,0,0,0,0,0,0,-0.23022,-0.15629,0.23078,-0.02413,1,1,1,1
91,92,1,1,1,0,0.000991,0.005357,0.022532,0,0,0,0,0,0,0,0,0,0,0,0,1.12136,0.04443,-1.12011,-0.08281,1,1,1,1
93,94,1,1,1,0,0.001298,0.007455,0.040934,0,0,0,0,0,0,0,0,0,0,0,0,-0.99023,-0.01456,0.99152,-0.05863,1,1,1,1
93,94,1,1,1,0,0.00173,0.008704,0.037056,0,0,0,0,0,0,0,0,0,0,0,0,-0.84364,0.00553,0.84489,-0.0722,1,1,1,1
58,95,1,1,1,0,0.001706,0.010514,0.021951,0,0,0,0,0,0,0,0,0,0,0,0,0.23062,0.07453,-0.23052,-0.11708,1,1,1,1
58,95,1,1,1,0,0.001695,0.010514,0.021918,0,0,0,0,0,0,0,0,0,0,0,0,0.23055,0.07481,-0.23044,-0.11729,1,1,1,1
62,96,1,1,1,0,0.000697,0.003628,0.130044,0,0,0,0,0,0,0,0,0,0,0,0,0.50349,-0.28754,-0.5033,0.0284,1,1,1,1
62,97,1,1,1,0,0.000714,0.003601,0.130284,0,0,0,0,0,0,0,0,0,0,0,0,0.44277,-0.28357,-0.44261,0.02373,1,1,1,1
98,99,1,1,1,0,0.000473,0.002696,0.009684,0,0,0,0,0,0,0,0,0,0,0,0,0.07927,0.16884,-0.07925,-0.18808,1,1,1,1
98,99,1,1,1,0,0.000433,0.002722,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0.07588,0.16868,-0.07587,-0.18816,1,1,1,1
98,92,1,1,1,0,0.000485,0.0028,0.008448,0,0,0,0,0,0,0,0,0,0,0,0,-0.4457,-0.02383,0.44579,0.0075,1,1,1,1
98,92,1,1,1,0,0.000455,0.0028,0.006875,0,0,0,0,0,0,0,0,0,0,0,0,-0.44629,-0.02693,0.44638,0.01374,1,1,1,1
100,101,1,1,1,0,0.000883,0.01242,0.681292,0,0,0,0,0,0,0,0,0,0,0,0,3.35767,-0.32737,-3.34779,1.38612,1,1,1,1
100,101,1,1,1,0,0.000887,0.012501,0.691331,0,0,0,0,0,0,0,0,0,0,0,0,3.33582,-0.33951,-3.32603,1.37701,1,1,1,1
102,98,1,1,1,0,0.000575,0.005885,0.012682,0,0,0,0,0,0,0,0,0,0,0,0,-0.66057,-0.0975,0.66082,0.07479,1,1,1,1
102,98,1,1,1,0,0.000614,0.003217,0.041676,0,0,0,0,0,0,0,0,0,0,0,0,-1.20156,-0.08545,1.20245,0.00689,1,1,1,1
18,103,1,1,1,0,0.001837,0.0108,0.01004,0,0,0,0,0,0,0,0,0,0,0,0,0.37029,-0.1101,-0.37002,0.09151,1,1,1,1
18,103,1,1,1,0,0.001819,0.010698,0.009589,0,0,0,0,0,0,0,0,0,0,0,0,0.37384,-0.11057,-0.37357,0.09289,1,1,1,1
83,104,1,1,1,0,0.001619,0.009112,0.010642,0,0,0,0,0,0,0,0,0,0,0,0,1.42239,-0.0341,-1.41914,0.03098,1,1,1,1
83,104,1,1,1,0,0.001618,0.009112,0.011427,0,0,0,0,0,0,0,0,0,0,0,0,1.42241,-0.03483,-1.41916,0.03014,1,1,1,1
103,105,1,1,1,0,0.010346,0.053293,0.04977,0,0,0,0,0,0,0,0,0,0,0,0,0.17579,-0.09554,-0.17546,-0.00285,1,1,1,1
103,105,1,1,1,0,0.010147,0.051099,0.049091,0,0,0,0,0,0,0,0,0,0,0,0,0.18299,-0.09756,-0.18262,0.00061,1,1,1,1
48,27,1,1,1,0,0.016832,0.106797,0.093252,0,0,0,0,0,0,0,0,0,0,0,0,0.84801,0.14743,-0.83595,0.05661,1,1,1,1
106,107,1,1,1,0,0.005011,0.029432,0.027549,0,0,0,0,0,0,0,0,0,0,0,0,-0.25319,-0.01582,0.25351,-0.03687,1,1,1,1
1,108,1,1,1,0,0.000434,0.00627,0.358346,0,0,0,0,0,0,0,0,0,0,0,0,4.10633,-0.11696,-4.09901,-0.4949,1,1,1,1
109,110,1,1,1,0,0.000998,0.007394,0.037474,0,0,0,0,0,0,0,0,0,0,0,0,1.59179,-0.1548,-1.58919,0.10087,1,1,1,1
109,110,1,1,1,0,0.001043,0.007328,0.040264,0,0,0,0,0,0,0,0,0,0,0,0,1.60357,-0.17016,-1.6008,0.11092,1,1,1,1
111,109,1,1,1,0,0.003185,0.017703,0.048142,0,0,0,0,0,0,0,0,0,0,0,0,-1.68784,0.07715,1.69725,-0.11864,1,1,1,1
28,56,1,1,1,0,0.001396,0.011485,0.021487,0,0,0,0,0,0,0,0,0,0,0,0,0.77761,-0.06717,-0.77676,0.03141,1,1,1,1
112,113,1,1,1,0,0.011505,0.068507,0.108714,0,0,0,0,0,0,0,0,0,0,0,0,-1.67879,0.20706,1.71221,-0.22752,1,1,1,1
112,113,1,1,1,0,0.011609,0.069233,0.109603,0,0,0,0,0,0,0,0,0,0,0,0,-1.66134,0.20245,1.69436,-0.22677,1,1,1,1
83,113,1,1,1,0,0.004989,0.027905,0.026399,0,0,0,0,0,0,0,0,0,0,0,0,-0.85955,0.02799,0.86322,-0.06083,1,1,1,1
83,113,1,1,1,0,0.004854,0.02794,0.02651,0,0,0,0,0,0,0,0,0,0,0,0,-0.85947,0.02367,0.86304,-0.05672,1,1,1,1
111,114,1,1,1,0,0.00093,0.003749,0.003782,0,0,0,0,0,0,0,0,0,0,0,0,0.52504,0.06601,-0.52477,-0.07226,1,1,1,1
115,112,1,1,1,0,0.002748,0.01573,0.014127,0,0,0,0,0,0,0,0,0,0,0,0,-1.16322,0.20826,1.16705,-0.21469,1,1,1,1
116,68,1,1,1,0,0.001353,0.006781,0.013014,0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0,-0.00003,-0.02608,1,1,1,1
67,117,1,1,1,0,0.01148,0.064811,0.061136,0,0,0,0,0,0,0,0,0,0,0,0,-0.81124,-0.02804,0.81904,-0.04762,1,1,1,1
118,110,1,1,1,0,0.003531,0.018996,0.019027,0,0,0,0,0,0,0,0,0,0,0,0,-0.7203,-0.01363,0.72218,-0.01327,1,1,1,1
118,110,1,1,1,0,0.003574,0.019006,0.019052,0,0,0,0,0,0,0,0,0,0,0,0,-0.71964,-0.01216,0.72155,-0.0148,1,1,1,1
101,119,1,1,1,0,0.000475,0.010749,0.602622,0,0,0,0,0,0,0,0,0,0,0,0,6.71715,-0.00783,-6.69569,1.57379,1,1,1,1
101,119,1,1,1,0,0.000488,0.01068,0.580552,0,0,0,0,0,0,0,0,0,0,0,0,6.76045,0.00846,-6.73815,1.60467,1,1,1,1
120,121,1,1,1,0,0.000791,0.003638,0.003112,0,0,0,0,0,0,0,0,0,0,0,0,-0.77101,0.02894,0.77149,-0.03288,1,1,1,1
122,102,1,1,1,0,0.002842,0.01401,0.026457,0,0,0,0,0,0,0,0,0,0,0,0,-0.47514,-0.01954,0.47579,-0.03,1,1,1,1
122,102,1,1,1,0,0.002636,0.0144,0.028439,0,0,0,0,0,0,0,0,0,0,0,0,-0.46403,-0.03052,0.46461,-0.02303,1,1,1,1
123,110,1,1,1,0,0.006218,0.03335,0.033429,0,0,0,0,0,0,0,0,0,0,0,0,-0.19455,0.16775,0.19504,-0.23073,1,1,1,1
123,110,1,1,1,0,0.006485,0.035255,0.034409,0,0,0,0,0,0,0,0,0,0,0,0,-0.18457,0.15558,0.18503,-0.22062,1,1,1,1
124,125,1,1,1,0,0.007351,0.040715,0.040505,0,0,0,0,0,0,0,0,0,0,0,0,0.39658,-0.00569,-0.39543,-0.06955,1,1,1,1
124,125,1,1,1,0,0.007416,0.040038,0.039658,0,0,0,0,0,0,0,0,0,0,0,0,0.40311,-0.0061,-0.40191,-0.06734,1,1,1,1
126,88,1,1,1,0,0.005078,0.027671,0.028163,0,0,0,0,0,0,0,0,0,0,0,0,0.05178,0.00361,-0.05176,-0.0594,1,1,1,1
124,103,1,1,1,0,0.005335,0.029816,0.031179,0,0,0,0,0,0,0,0,0,0,0,0,0.6701,-0.03677,-0.66773,-0.01289,1,1,1,1
26,19,1,1,1,0,0.000121,0.001213,0.001545,0,0,0,0,0,0,0,0,0,0,0,0,0.89823,0.16057,-0.89813,-0.16266,1,1,1,1
127,32,1,1,1,0,0.003072,0.012288,0.010308,0,0,0,0,0,0,0,0,0,0,0,0,0.33084,-0.09228,-0.33048,0.07308,1,1,1,1
128,71,1,1,1,0,0.002903,0.016152,0.020803,0,0,0,0,0,0,0,0,0,0,0,0,0.69017,-0.02825,-0.68876,-0.00477,1,1,1,1
128,71,1,1,1,0,0.002749,0.014501,0.0174,0,0,0,0,0,0,0,0,0,0,0,0,0.76727,-0.03309,-0.76562,0.00762,1,1,1,1
129,118,1,1,1,0,0.00181,0.009605,0.009809,0,0,0,0,0,0,0,0,0,0,0,0,0.19768,-0.29088,-0.19745,0.27305,1,1,1,1
129,118,1,1,1,0,0.001819,0.009604,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0.19738,-0.29102,-0.19716,0.27321,1,1,1,1
44,130,1,1,1,0,0.000931,0.003722,0.007942,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,-0.016,-0.00001,0.00005,1,1,1,1
30,131,1,1,1,0,0.001533,0.008932,0.016435,0,0,0,0,0,0,0,0,0,0,0,0,1.34415,-0.40365,-1.34109,0.38919,1,1,1,1
33,131,1,1,1,0,0.000038,0.000285,0.000546,0,0,0,0,0,0,0,0,0,0,0,0,-0.81023,-1.0403,0.8103,1.03973,1,1,1,1
123,132,1,1,1,0,0.001645,0.009225,0.015595,0,0,0,0,0,0,0,0,0,0,0,0,-1.53571,-0.1378,1.53966,0.12908,1,1,1,1
133,134,1,1,1,0,0.000199,0.001089,0.000515,0,0,0,0,0,0,0,0,0,0,0,0,0.15129,-0.0135,-0.15129,0.01248,1,1,1,1
135,136,1,1,1,0,0.000378,0.00322,0.005963,0,0,0,0,0,0,0,0,0,0,0,0,1.1177,0.40015,-1.11716,-0.40733,1,1,1,1
