tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
156,927,四川.九龙.220.1399,四川.九龙/2#变压器_m,1,1,1,0.000086,-0.001907,0,0,0,0,0,0,1.05,0,0,0,0,0,0,4.04892,-0.42645,0,0,1,1,0,0
103,928,四川.石棉.500.2469,四川.石棉/1#变压器_h,1,1,1,0.000097,0.0182,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-3.55185,0.69558,0,0,1,1,0,0
33,928,四川.石棉.220.2477,四川.石棉/1#变压器_m,1,1,1,0.00008,-0.002463,0,0,0,0,0,0,1.05,0,0,0,0,0,0,3.55453,-0.4728,0,0,1,1,0,0
103,929,四川.石棉.500.2469,四川.石棉/2#变压器_h,1,1,1,0.000095,0.0182,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-3.55268,0.69596,0,0,1,1,0,0
33,929,四川.石棉.220.2477,四川.石棉/2#变压器_m,1,1,1,0.000083,-0.002467,0,0,0,0,0,0,1.05,0,0,0,0,0,0,3.55535,-0.47312,0,0,1,1,0,0
15,930,西南.黄岩站.500.1144,四川.黄岩/2#变压器_h,1,1,1,0.000087,0.019007,0,0,0,0,0,0,1,0,0,0,0,0,0,1.99339,0.05326,0,0,1,1,0,0
143,930,西南.黄岩站.220.1145,四川.黄岩/2#变压器_m,1,1,1,0.00008,-0.002407,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.99304,0.01203,0,0,1,1,0,0
15,931,西南.黄岩站.500.1144,四川.黄岩/1#变压器_h,1,1,1,0.000091,0.017934,0,0,0,0,0,0,1,0,0,0,0,0,0,2.10317,0.05367,0,0,1,1,0,0
143,931,西南.黄岩站.220.1145,四川.黄岩/1#变压器_m,1,1,1,0.000086,-0.0022,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.10266,0.01518,0,0,1,1,0,0
152,932,国调.南天站.500.1984,四川.南天/2#变压器_h,1,1,1,0.000085,0.017993,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.76812,-0.17947,0,0,1,1,0,0
161,932,国调.南天站.220.1999,四川.南天/2#变压器_m,1,1,1,0.000089,-0.00202,0,0,0,0,0,0,1,0,0,0,0,0,0,0.76872,-0.14902,0,0,1,1,0,0
933,932,国调.南天站.35.2026,四川.南天/2#变压器_l,1,1,1,0.000521,0.039767,0,0,0,0,0,0,0.972973,0,0,0,0,0,0,-0.00021,0.34251,0,0,1,1,0,0
821,304,四川.白水河厂.10.3791,四川.白水河厂/2#变压器,1,1,1,0.0001,0.3185,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0034,0.01075,-0.0034,-0.0107,1,1,0,0
821,934,四川.白水河厂.10.3791,四川.白水河厂/3#变压器,1,1,1,0.2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00239,0.00519,0.00239,-0.005,1,1,0,0
4,935,西南.泸州站.500.3630,四川.泸州/1#变压器_h,1,1,1,0.000089,0.01838,0,0,0,0,0,0,1,0,0,0,0,0,0,3.43636,-0.30544,0,0,1,1,0,0
139,935,西南.泸州站.220.3631,四川.泸州/1#变压器_m,1,1,1,0.000071,-0.001953,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.43457,-0.25157,0,0,1,1,0,0
936,935,西南.泸州站.35.3636,四川.泸州/1#变压器_l,1,1,1,0.000507,0.042967,0,0,0,0,0,0,0.972973,0,0,0,0,0,0,0.00013,0.77638,0,0,1,1,0,0
4,937,西南.泸州站.500.3630,四川.泸州/2#变压器_h,1,1,1,0.000087,0.018247,0,0,0,0,0,0,1,0,0,0,0,0,0,3.45067,-0.30938,0,0,1,1,0,0
139,937,西南.泸州站.220.3631,四川.泸州/2#变压器_m,1,1,1,0.000071,-0.001887,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.44883,-0.2467,0,0,1,1,0,0
938,937,西南.泸州站.35.3637,四川.泸州/2#变压器_l,1,1,1,0.000496,0.042647,0,0,0,0,0,0,0.972973,0,0,0,0,0,0,0.00009,0.77609,0,0,1,1,0,0
150,939,四川.茂县.500.1756,四川.茂县/1#变压器_h,1,1,1,0.000087,0.01796,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-2.94518,0.50748,0,0,1,1,0,0
63,939,四川.茂县.220.1759,四川.茂县/1#变压器_m,1,1,1,0.000072,-0.001787,0,0,0,0,0,0,1.05,0,0,0,0,0,0,2.94706,0.05181,0,0,1,1,0,0
940,939,四川.茂县.35.1760,四川.茂县/1#变压器_l,1,1,1,0.000456,0.039987,0,0,0,0,0,0,0.972973,0,0,0,0,0,0,-0.00014,-0.39605,0,0,1,1,0,0
150,941,四川.茂县.500.1756,四川.茂县/2#变压器_h,1,1,1,0.000084,0.017973,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-2.93796,0.5517,0,0,1,1,0,0
63,941,四川.茂县.220.1759,四川.茂县/2#变压器_m,1,1,1,0.000075,-0.001787,0,0,0,0,0,0,1.05,0,0,0,0,0,0,2.93948,-0.39568,0,0,1,1,0,0
26,942,四川.南充.500.1822,四川.南充/1#变压器_h,1,1,1,0.000098,0.018073,0,0,0,0,0,0,1,0,0,0,0,0,0,3.25664,0.56701,0,0,1,1,0,0
219,942,四川.南充.220.1823,四川.南充/1#变压器_m,1,1,1,0.000077,-0.001647,0,0,0,0,0,0,1.0125,0,0,0,0,0,0,-3.25413,0.51953,0,0,1,1,0,0
943,942,四川.南充.35.1837,四川.南充/1#变压器_l,1,1,1,0.000439,0.039927,0,0,0,0,0,0,0.972973,0,0,0,0,0,0,-0.00012,-0.87549,0,0,1,1,0,0
26,944,四川.南充.500.1822,四川.南充/2#变压器_h,1,1,1,0.000133,0.017927,0,0,0,0,0,0,1,0,0,0,0,0,0,3.31691,0.61746,0,0,1,1,0,0
219,944,四川.南充.220.1823,四川.南充/2#变压器_m,1,1,1,0.000047,-0.001793,0,0,0,0,0,0,1.0125,0,0,0,0,0,0,-3.31428,0.0268,0,0,1,1,0,0
945,944,四川.南充.35.1838,四川.南充/2#变压器_l,1,1,1,0.000537,0.040247,0,0,0,0,0,0,0.972973,0,0,0,0,0,0,-0.00024,-0.45319,0,0,1,1,0,0
353,946,四川.康定.500.4147,四川.康定/1#变压器_h,1,1,1,0.000092,0.01783,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-1.74506,0.74266,0,0,1,1,0,0
228,946,四川.康定.220.4158,四川.康定/1#变压器_m,1,1,1,0.000035,-0.00205,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,1.74595,-0.14984,0,0,1,1,0,0
947,946,四川.康定.35.4160,四川.康定/1#变压器_l,1,1,1,0.000413,0.04094,0,0,0,0,0,0,0.972973,0,0,0,0,0,0,-0.00015,-0.5187,0,0,1,1,0,0
353,948,四川.康定.500.4147,四川.康定/2#变压器_h,1,1,1,0.000059,0.01672,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-1.77668,0.74502,0,0,1,1,0,0
228,948,四川.康定.220.4158,四川.康定/2#变压器_m,1,1,1,0.000065,-0.00119,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,1.77814,0.35654,0,0,1,1,0,0
