bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,,,,,,,
58,600,0,1,1,1.00203,-15.1846,0,0,0,0,220,230,0,0,0,0,0,1.02177,-11.3424,-9.10E-05,2.15E-06,1,0,0,,,,,,,
59,1177,0,1,1,0.9957,-9.80193,0,0,0,0,220,230,0,0,0,0,0,1.04756,-6.14887,-0.000127839,-6.71E-07,1,0,0,,,,,,,
60,1031,0,1,1,0.992171,-11.1927,0,0,0,0,220,230,0,0,0,0,0,1.05481,-7.46305,-7.44E-05,-6.08E-06,1,0,0,,,,,,,
61,1233,0,1,1,1.00053,-10.987,0,0,0,0,220,230,0,0,0,0,0,1.00597,-7.43952,-0.000286923,-3.75E-06,1,0,0,,,,,,,
62,1028,0,1,1,1.00262,-10.4215,0,0,0,0,220,230,0,0,0,0,0,1.0062,-6.85986,2.08E-05,3.66E-06,1,0,0,,,,,,,
63,3333,0,1,1,1.00189,-15.0853,0.12487,0.01255,0,0,220,230,0,0,0,0,0,1.02133,-11.2463,-0.124842,-0.0125512,0,0,0,,,,,,,
64,3427,0,1,1,0.995951,-20.0984,0,-0.37823,0,0,220,230,0,0,0,0,0,1.04153,-15.9745,-0.000400117,0.378083,1,0,0,,,,,,,
65,979,0,1,1,1.00112,-10.8432,0,0,0,0,220,230,0,0,0,0,0,1.00612,-7.29286,6.29E-05,3.73E-06,1,0,0,,,,,,,
66,3285,0,1,1,0.995378,-10.3692,0,0,0,0,220,230,0,0,0,0,0,1.00203,-6.8323,1.33E-05,1.04E-05,1,0,0,,,,,,,
67,597,0,1,1,1.00661,-4.67496,0,0,0,0,220,230,0,0,0,0,0,1.00509,-1.34866,2.14E-05,3.75E-06,1,0,0,,,,,,,
68,2214,0,1,1,1.00289,-7.09449,0,0,0,0,220,230,0,0,0,0,0,1.01449,-3.92537,-0.000165651,-7.99E-06,1,0,0,,,,,,,
69,1157,0,1,1,0.987716,-19.5411,0,0,0,0,220,230,0,0,0,0,0,1.04805,-15.3087,-0.000536694,-5.34E-05,1,0,0,,,,,,,
70,1131,0,1,1,1.00181,-12.3763,0,0,0,0,220,230,0,0,0,0,0,1.02171,-8.29933,-2.92E-06,2.60E-05,1,0,0,,,,,,,
71,1204,0,1,1,0.989586,-19.5051,0,-0.05382,0,0,220,230,0,0,0,0,0,1.05524,-15.2979,0.000355858,0.0537774,1,0,0,,,,,,,
72,2048,0,1,1,0.996406,-13.3099,0,0,0,0,220,230,0,0,0,0,0,1.04091,-9.13476,6.39E-06,-2.75E-06,1,0,0,,,,,,,
73,1147,0,1,1,0.994358,-13.4681,0,0,0,0,220,230,0,0,0,0,0,1.03963,-9.28412,-8.23E-05,-1.29E-05,1,0,0,,,,,,,
74,1264,0,1,1,1.00065,-1.42438,0,0,0,0,220,230,0,0,0,0,0,1.00755,0.610852,-4.70E-06,5.56E-07,1,0,0,,,,,,,
75,1173,0,1,1,1.00029,-1.07069,0.00143,0.00755,0,0,220,230,0,0,0,0,0,1.00661,0.964151,-0.00143735,-0.007549,1,0,0,,,,,,,
76,1189,0,1,1,0.989092,-18.6591,0,-0.09082,0,0,220,230,0,0,0,0,0,1.03737,-14.664,-0.000338358,0.0910592,1,0,0,,,,,,,
77,507,0,1,1,0.991361,-19.3878,0,0,0,0,220,230,0,0,0,0,0,1.04432,-15.3508,-0.000667514,-5.65E-05,1,0,0,,,,,,,
78,667,0,1,1,0.989371,-18.8081,0.27571,-0.06153,0,0,220,230,0,0,0,0,0,1.03757,-14.7989,-0.275632,0.0615145,1,0,0,,,,,,,
79,548,0,1,1,1.00178,-7.446,0,0,0,0,220,230,0,0,0,0,0,1.04303,-3.94146,-0.000144696,7.48E-06,1,0,0,,,,,,,
80,3228,0,1,1,0.98428,-19.5911,0,0,0,0,220,230,0,0,0,0,0,1.03264,-15.5094,-0.000397129,-5.28E-05,1,0,0,,,,,,,
81,2191,0,1,1,0.993966,-19.9169,0,0,0,0,220,230,0,0,0,0,0,1.0412,-15.8039,-0.000194018,-2.93E-06,1,0,0,,,,,,,
82,1404,0,1,1,0.998814,-1.6224,0,0,0,0,220,230,0,0,0,0,0,1.00785,0.400271,0.000231792,-1.22E-05,1,0,0,,,,,,,
83,1639,0,1,1,1.0045,-7.29454,0,0,0,0,220,230,0,0,0,0,0,1.01778,-4.11566,2.07E-05,-3.87E-06,1,0,0,,,,,,,
84,1284,0,1,1,1.00461,-7.26115,0,0,0,0,220,230,0,0,0,0,0,1.01789,-4.08313,-7.10E-05,2.31E-06,1,0,0,,,,,,,
85,1663,0,1,1,1.00196,-7.91957,0,0,0,0,220,230,0,0,0,0,0,1.0184,-4.64403,-0.000112292,-6.35E-06,1,0,0,,,,,,,
86,3213,0,1,1,1.01018,-1.25257,0,0,0,0,220,230,0,0,0,0,0,1.00809,1.57788,2.89E-05,2.76E-06,0,0,0,,,,,,,
87,2244,0,1,1,1.01023,-10.7388,3.00E-05,0.00042,0,0,220,230,0,0,0,0,0,1.0108,-6.88409,1.93E-06,-0.000413787,1,0,0,,,,,,,
88,1653,0,1,1,1.01029,-10.7395,0,0,0,0,220,230,0,0,0,0,0,1.01083,-6.88449,7.52E-09,-1.20E-08,1,0,0,,,,,,,
89,1712,0,1,1,1.00224,-15.8981,0,0,0,0,220,230,0,0,0,0,0,1.0153,-12.0506,-1.36E-05,3.38E-05,1,0,0,,,,,,,
90,777,0,1,1,0.998151,-16.4321,0,0,0,0,220,230,0,0,0,0,0,1.01224,-12.5777,-0.000362133,2.35E-06,1,0,0,,,,,,,
91,1391,0,1,1,1.01248,-2.84968,0,0,0,0,500,525,0,0,0,0,0,1.03466,-0.792963,-0.000804579,-3.62E-05,1,0,0,,,,,,,
92,616,0,1,1,1.01549,-0.890076,0,0,0,0,220,230,0,0,0,0,0,1.01157,1.9606,6.04E-06,7.52E-07,1,0,0,,,,,,,
93,1794,0,1,1,0.998682,-1.79722,0,0,0,0,220,230,0,0,0,0,0,1.0067,1.95022,-9.17E-05,-6.49E-07,1,0,0,,,,,,,
