ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
18,200,1,1,1,0,0.00135,0.00659,0.01135,0,0,0,0,0,0,0,0,0,0,0,0,-2.07686,-0.16788,2.07984,0.159119,1,1,1,1
18,200,1,1,1,0,0.00135,0.00652,0.01222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
18,399,1,1,1,1,0.00075,0.08264,0,0,0,0,0,0,0.94456,0,0,0,0,0,0,-4.58E-08,8.78E-09,4.58E-08,-8.78E-09,1,1,1,1
18,402,1,1,1,1,0.00075,0.08211,0,0,0,0,0,0,0.94456,0,0,0,0,0,0,-4.60E-08,8.88E-09,4.60E-08,-8.88E-09,1,1,1,1
19,732,1,1,1,1,0.00087,0.056314,0,0,0,0,0,0,0.98043,0,0,0,0,0,0,-8.91E-12,1.74E-11,8.91E-12,-1.74E-11,1,1,1,1
19,735,1,1,1,1,0,0.05333,0,0,0,0,0,0,0.98043,0,0,0,0,0,0,-1.14E-11,2.26E-12,1.14E-11,-2.25E-12,1,1,1,1
20,213,1,1,1,0,0.00207,0.01586,0.030682,0,0,0,0,0,0,0,0,0,0,0,0,-3.64806,-0.548146,3.66255,0.602433,1,1,1,1
20,213,1,1,1,0,0.00199,0.01584,0.030682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
20,239,1,1,1,0,0.00095,0.00445,0.007417,0,0,0,0,0,0,0,0,0,0,0,0,0.467892,0.531416,-0.467636,-0.545882,1,1,1,1
20,239,1,1,1,0,0.00096,0.00446,0.009075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
20,852,1,1,1,1,0.000981,0.08247,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,-7.91E-06,-1.31E-06,7.91E-06,1.31E-06,1,1,1,1
20,855,1,1,1,1,0.000985,0.08286,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,-7.89E-06,-1.31E-06,7.89E-06,1.31E-06,1,1,1,1
21,460,1,1,1,1,0.000891,0.08808,0,0,0,0,0,0,1.0402,0,0,0,0,0,0,-3.75E-05,-2.86E-06,3.75E-05,2.86E-06,1,1,1,1
22,463,1,1,1,1,0.00087,0.08281,0,0,0,0,0,0,1.0522,0,0,0,0,0,0,-7.70E-05,-5.41E-06,7.70E-05,5.41E-06,1,1,1,1
23,24,1,1,1,0,0.075614,0.75614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
23,409,1,1,1,1,0.00064,0.061694,0,0,0,0,0,0,1.0522,0,0,0,0,0,0,0.522082,-0.0468435,-0.521899,0.0644845,1,1,1,1
25,26,1,1,1,0,0.00189,0.009236,0.22044,0,0,0,0,0,0,0,0,0,0,0,0,2.08899,-0.696865,-2.08527,0.310267,1,1,1,1
25,26,1,1,1,0,0.00121,0.00713,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
25,920,1,1,1,1,0.007667,0.07782,0,0,0,0,0,0,1.0043,0,0,0,0,0,0,-0.00562116,-0.0509606,0.00564319,0.0511842,1,1,1,1
25,923,1,1,1,1,0.007667,0.07782,0,0,0,0,0,0,1.0043,0,0,0,0,0,0,-0.00562116,-0.0509606,0.00564319,0.0511842,1,1,1,1
25,1270,1,1,1,1,0.0001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0112907,0.10236,-0.0112895,-0.102348,1,1,1,1
26,857,1,1,1,1,0.000839,0.08987,0,0,0,0,0,0,0.98043,0,0,0,0,0,0,0.000436109,0.0724267,-0.00043153,-0.0719362,1,1,1,1
26,860,1,1,1,1,0.000839,0.08987,0,0,0,0,0,0,0.98043,0,0,0,0,0,0,0.000436109,0.0724267,-0.00043153,-0.0719362,1,1,1,1
26,1114,1,1,1,1,1.00E-06,0.1358,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,-0.00085515,-0.142019,0.00085517,0.144731,1,1,1,1
27,17,1,1,1,0,0.000832,0.007119,0.014812,0,0,0,0,0,0,0,0,0,0,0,0,2.61282,0.492844,-2.61005,-0.495033,1,1,1,1
27,17,1,1,1,0,0.000675,0.007183,0.014812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
