tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,limit,ioff,joff,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,
36,58,0,1,1,0,0.000472,0.002232,0.000225,0,0,0,0,0,0,0,0,0,0,0,0,0.51204,0.15774,-0.5119,-0.15752,800,0,0,1,1,1,1,,,,,0.002232
36,59,0,1,1,0,0.000472,0.002232,0.000225,0,0,0,0,0,0,0,0,0,0,0,0,0.34356,0.08825,-0.3435,-0.0884,800,0,0,1,1,1,1,,,,,0.002232
3,60,0,1,1,0,0.004391,0.017562,0.001085,0,0,0,0,0,0,0,0,0,0,0,0,0.08808,0.01369,-0.08804,-0.01564,515,0,0,1,1,1,1,,,,,0.017562
1,61,0,1,1,0,0.002473,0.018792,0.032002,0,0,0,0,0,0,0,0,0,0,0,0,0.49779,-0.07339,-0.49715,0.01584,800,0,0,1,1,1,1,,,,,0.018792
1,61,0,1,1,0,0.002473,0.018792,0.032002,0,0,0,0,0,0,0,0,0,0,0,0,0.49779,-0.07339,-0.49715,0.01584,800,0,0,1,1,1,1,,,,,0.018792
62,14,0,1,1,0,0.013729,0.054915,0.003392,0,0,0,0,0,0,0,0,0,0,0,0,0.22665,0.04447,-0.22589,-0.04784,515,0,0,1,1,1,1,,,,,0.054915
62,12,0,1,1,0,0.014373,0.057494,0.003049,0,0,0,0,0,0,0,0,0,0,0,0,0.21242,0.02174,-0.21174,-0.02481,610,0,0,1,1,1,1,,,,,0.057494
63,48,0,1,1,0,0.005432,0.021729,0.001152,0,0,0,0,0,0,0,0,0,0,0,0,0.15857,-0.00958,-0.15844,0.00787,610,0,0,1,1,1,1,,,,,0.021729
63,64,0,1,1,0,0.005432,0.021729,0.001152,0,0,0,0,0,0,0,0,0,0,0,0,0.02466,-0.00428,-0.02466,0.00202,610,0,0,1,1,1,1,,,,,0.021729
63,65,0,1,1,0,0.026238,0.10495,0.005566,0,0,0,0,0,0,0,0,0,0,0,0,0.06026,-0.0069,-0.06016,-0.00365,610,0,0,1,1,1,1,,,,,0.10495
63,66,0,1,1,0,0.026238,0.10495,0.005566,0,0,0,0,0,0,0,0,0,0,0,0,0.04212,-0.0116,-0.04207,0.00085,610,0,0,1,1,1,1,,,,,0.10495
23,67,0,1,1,0,0.004598,0.018392,0.001065,0,0,0,0,0,0,0,0,0,0,0,0,0.24248,0.04136,-0.2422,-0.04231,610,0,0,1,1,1,1,,,,,0.018392
67,68,0,1,1,0,0.001891,0.007563,0.000427,0,0,0,0,0,0,0,0,0,0,0,0,0.11176,0.02065,-0.11174,-0.02139,610,0,0,1,1,1,1,,,,,0.007563
67,69,0,1,1,0,0.005451,0.021803,0.001347,0,0,0,0,0,0,0,0,0,0,0,0,0.09635,0.01332,-0.0963,-0.01574,240,0,0,1,1,1,1,,,,,0.021803
44,70,0,1,1,0,0.025087,0.100348,0.005322,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115,-0.00629,0.01151,-0.00441,610,0,0,1,1,1,1,,,,,0.100348
10,71,0,1,1,0,0.00245,0.018619,0.031708,0,0,0,0,0,0,0,0,0,0,0,0,0.00533,-0.14155,-0.0053,0.07829,800,0,0,1,1,1,1,,,,,0.018619
63,72,0,1,1,0,0.015271,0.061084,0.00324,0,0,0,0,0,0,0,0,0,0,0,0,0.0582,-0.00296,-0.05815,-0.0032,610,0,0,1,1,1,1,,,,,0.061084
63,73,0,1,1,0,0.015271,0.061084,0.00324,0,0,0,0,0,0,0,0,0,0,0,0,0.03297,-0.01726,-0.03295,0.01097,610,0,0,1,1,1,1,,,,,0.061084
23,74,0,1,1,0,0.003646,0.014585,0.000774,0,0,0,0,0,0,0,0,0,0,0,0,0.05942,0.00837,-0.0594,-0.00983,610,0,0,1,1,1,1,,,,,0.014585
63,75,0,1,1,0,0.019599,0.078397,0.004158,0,0,0,0,0,0,0,0,0,0,0,0,0.00843,-0.07955,-0.00832,0.07178,610,0,0,1,1,1,1,,,,,0.078397
76,7,0,1,1,0,0.000864,0.010408,0.017725,0,0,0,0,0,0,0,0,0,0,0,0,-0.6902,-0.33443,0.69071,0.30547,1758,0,0,1,1,1,1,,,,,0.010408
76,7,0,1,1,0,0.000864,0.010408,0.017725,0,0,0,0,0,0,0,0,0,0,0,0,-0.6902,-0.33443,0.69071,0.30547,1758,0,0,1,1,1,1,,,,,0.010408
76,57,0,1,1,0,0.005036,0.026249,0.02378,0,0,0,0,0,0,0,0,0,0,0,0,1.20963,-0.03496,-1.20215,0.02737,350,0,0,1,1,1,1,,,,,0.026249
76,57,0,1,1,0,0.004977,0.025944,0.023504,0,0,0,0,0,0,0,0,0,0,0,0,1.22385,-0.03483,-1.21628,0.02824,350,0,0,1,1,1,1,,,,,0.025944
76,77,0,1,1,0,0.00109,0.008283,0.014106,0,0,0,0,0,0,0,0,0,0,0,0,-0.97088,0.38251,0.9721,-0.40098,800,0,0,1,1,1,1,,,,,0.008283
76,77,0,1,1,0,0.00109,0.008283,0.014106,0,0,0,0,0,0,0,0,0,0,0,0,-0.97088,0.38251,0.9721,-0.40098,800,0,0,1,1,1,1,,,,,0.008283
76,78,0,1,1,0,0.001454,0.007577,0.006864,0,0,0,0,0,0,0,0,0,0,0,0,0.00397,-0.03624,-0.00396,0.02272,800,0,0,1,1,1,1,,,,,0.007577
3,79,0,1,1,0,0.012874,0.051498,0.003181,0,0,0,0,0,0,0,0,0,0,0,0,0.10369,-0.00427,-0.10355,-0.0013,515,0,0,1,1,1,1,,,,,0.051498
18,80,0,1,1,0,0.0057,0.022801,0.001209,0,0,0,0,0,0,0,0,0,0,0,0,0.20931,0.01576,-0.20906,-0.01713,610,0,0,1,1,1,1,,,,,0.022801
62,81,0,1,1,0,0.005211,0.020844,0.001105,0,0,0,0,0,0,0,0,0,0,0,0,0.04448,0.00981,-0.04447,-0.01188,610,0,0,1,1,1,1,,,,,0.020844
62,82,0,1,1,0,0.004462,0.017849,0.001103,0,0,0,0,0,0,0,0,0,0,0,0,0.14616,-0.00764,-0.14606,0.00593,515,0,0,1,1,1,1,,,,,0.017849
83,3,0,1,1,0,0.001886,0.01079,0.001112,0,0,0,0,0,0,0,0,0,0,0,0,-0.6107,-0.19958,0.61151,0.20207,770,0,0,1,1,1,1,,,,,0.01079
84,3,0,1,1,0,0.001886,0.01079,0.001112,0,0,0,0,0,0,0,0,0,0,0,0,-0.50133,-0.0867,0.50184,0.08746,770,0,0,1,1,1,1,,,,,0.01079
85,35,0,1,1,0,0.00508,0.02032,0.00205,0,0,0,0,0,0,0,0,0,0,0,0,0.02633,0.01943,-0.02632,-0.02358,800,0,0,1,1,1,1,,,,,0.02032
23,86,0,1,1,0,0.001878,0.007513,0.000398,0,0,0,0,0,0,0,0,0,0,0,0,0.04701,0.01065,-0.047,-0.01141,610,0,0,1,1,1,1,,,,,0.007513
21,87,0,1,1,0,0.025316,0.101263,0.005371,0,0,0,0,0,0,0,0,0,0,0,0,0.06046,-0.00355,-0.06036,-0.00651,610,0,0,1,1,1,1,,,,,0.101263
88,35,0,1,1,0,0.012494,0.049978,0.002651,0,0,0,0,0,0,0,0,0,0,0,0,-0.13118,-0.04057,0.13142,0.03612,610,0,0,1,1,1,1,,,,,0.049978
42,89,0,1,1,0,0.012494,0.049978,0.002651,0,0,0,0,0,0,0,0,0,0,0,0,0.09177,0.04775,-0.09163,-0.05254,610,0,0,1,1,1,1,,,,,0.049978
62,90,0,1,1,0,0.01597,0.075493,0.007618,0,0,0,0,0,0,0,0,0,0,0,0,0.21972,0.05012,-0.21886,-0.06052,800,0,0,1,1,1,1,,,,,0.075493
62,91,0,1,1,0,0.01597,0.075493,0.007618,0,0,0,0,0,0,0,0,0,0,0,0,0.16678,0.01531,-0.16631,-0.02759,800,0,0,1,1,1,1,,,,,0.075493
62,92,0,1,1,0,0.015516,0.062064,0.003292,0,0,0,0,0,0,0,0,0,0,0,0,0.03033,0.00335,-0.03032,-0.00958,610,0,0,1,1,1,1,,,,,0.062064
62,93,0,1,1,0,0.015516,0.062064,0.003292,0,0,0,0,0,0,0,0,0,0,0,0,-0.12553,-0.09591,0.12593,0.09114,610,0,0,1,1,1,1,,,,,0.062064
45,94,0,1,1,0,0.025087,0.100348,0.005322,0,0,0,0,0,0,0,0,0,0,0,0,-0.02694,-0.00744,0.02696,-0.00338,610,0,0,1,1,1,1,,,,,0.100348
95,42,0,1,1,0,0.000599,0.002831,0.000286,0,0,0,0,0,0,0,0,0,0,0,0,-0.03158,-0.00622,0.03158,0.00565,800,0,0,1,1,1,1,,,,,0.002831
96,34,0,1,1,0,0.000599,0.002831,0.000286,0,0,0,0,0,0,0,0,0,0,0,0,-0.01476,0.00095,0.01476,-0.00153,800,0,0,1,1,1,1,,,,,0.002831
27,97,0,1,1,0,0.010589,0.042357,0.002757,0,0,0,0,0,0,0,0,0,0,0,0,-0.01301,-0.0224,0.01302,0.01698,445,0,0,1,1,1,1,,,,,0.042357
24,98,0,1,1,0,0.021396,0.085583,0.004539,0,0,0,0,0,0,0,0,0,0,0,0,-0.34948,0.0951,0.35235,-0.09255,610,0,0,1,1,1,1,,,,,0.085583
99,56,0,1,1,0,0.000265,0.003956,0.008993,0,0,0,0,0,0,0,0,0,0,0,0,1.21399,-0.21776,-1.21359,0.20596,1000,0,0,1,1,1,1,,,,,0.003956
99,56,0,1,1,0,0.000586,0.003926,0.008993,0,0,0,0,0,0,0,0,0,0,0,0,1.19173,-0.31543,-1.19083,0.30357,1000,0,0,1,1,1,1,,,,,0.003926
93,100,0,1,1,0,0.002617,0.01047,0.000555,0,0,0,0,0,0,0,0,0,0,0,0,-0.301,-0.09796,0.30127,0.09795,610,0,0,1,1,1,1,,,,,0.01047
23,101,0,1,1,0,0.000817,0.003267,0.000173,0,0,0,0,0,0,0,0,0,0,0,0,0.1437,0.02344,-0.14368,-0.02371,610,0,0,1,1,1,1,,,,,0.003267
47,26,0,1,1,0,0.006887,0.027547,0.001461,0,0,0,0,0,0,0,0,0,0,0,0,0.20799,-0.02062,-0.20769,0.01883,610,0,0,1,1,1,1,,,,,0.027547
101,102,0,1,1,0,0.006887,0.027547,0.001461,0,0,0,0,0,0,0,0,0,0,0,0,0.1799,0.03322,-0.17966,-0.03514,610,0,0,1,1,1,1,,,,,0.027547
103,47,0,1,1,0,0.00109,0.004361,0.000231,0,0,0,0,0,0,0,0,0,0,0,0,0.00102,0.00187,-0.00102,-0.00234,610,0,0,1,1,1,1,,,,,0.004361
104,101,0,1,1,0,0.003137,0.01255,0.000666,0,0,0,0,0,0,0,0,0,0,0,0,-0.04793,-0.00502,0.04794,0.00375,610,0,0,1,1,1,1,,,,,0.01255
63,105,0,1,1,0,0.014373,0.057491,0.003049,0,0,0,0,0,0,0,0,0,0,0,0,0.00391,-0.03019,-0.0039,0.02423,610,0,0,1,1,1,1,,,,,0.057491
63,106,0,1,1,0,0.014373,0.057491,0.003049,0,0,0,0,0,0,0,0,0,0,0,0,0.09233,-0.04629,-0.09218,0.04089,610,0,0,1,1,1,1,,,,,0.057491
107,32,0,1,1,0,0.001966,0.023819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01537,0.01477,-0.01537,-0.01476,800,0,0,1,1,1,1,,,,,0.023819
61,108,0,1,1,0,0.001163,0.005117,0.000014,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,-0.00595,-0.00087,0.00592,503,0,0,1,1,1,1,,,,,0.005117
109,73,0,1,1,0,0.000678,0.003143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03248,0.02353,-0.03248,-0.02353,0,0,0,1,1,1,1,,,,,0.003143
110,111,0,1,1,0,0.007451,0.029803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00972,0.02824,-0.00971,-0.02821,445,0,0,1,1,1,1,,,,,0.029803
