bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM,Ri_V,Ri_vP,Ri_vQ
273,1901,0,1,1,0.97878,-8.97501,0.00116,-0.00086,0,0,35,35,0,0,0,0,0,0.97878,0,0,-0.04,1,0,0,2,1,0,0
274,6256,0,1,1,0,0,0.08688,0.01391,0,0,10,10.5,0,0,0,0.1081,0,0,0,8.35,1.46,1,0,2,7,0,0,0
275,283_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
276,6255,0,1,1,0,0,0.00107,-0.0002,0,0,35,35,0,0,0,0,0,0,0,0,-0.06,1,0,0,1,0,0,0
277,1904,0,1,1,1.03269,-7.80046,0.06852,0.01251,0,0,10,10.5,0,0,0,0.1081,0,1.03269,0,6.74,1.27,1,0,2,6,1,0,0
278,284_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
279,6236,0,1,1,0,0,0.07792,0.006,0,0,35,35,0,0,0,0.0601,0,0,0,7.81,0.34,1,0,1,6,0,0,0
280,6237,0,1,1,0,0,0.06815,0.03678,0,0,10,10.5,0,0,0,0.048,0,0,0,6.86,2.87,1,0,1,4,0,0,0
281,285_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
282,1723,0,1,1,0.96399,-7.32688,0.01761,0.00057,0,0,35,35,0,0,0,0.0601,0,0.96399,0,1.59,0.01,1,0,1,2,1,0,0
283,1725,0,1,1,1.03212,-7.44939,0.02692,0.01101,0,0,10,10.5,0,0,0,0.0601,0,1.03212,0,2.09,0.81,1,0,1,3,1,0,0
284,3043,0,1,1,1.05675,-5.33511,0.04689,0.01078,0,0,10,10.5,0,0,0,0.1202,0,1.05675,0,4.03,0.72,1,0,2,3,1,0,0
285,287_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
286,3053,0,1,1,0.960979,-8.01623,0.05489,0.01254,0,0,35,35,0,0,0,0,0,0.960979,0,3.68,0.81,1,0,0,2,1,0,0
287,6341,0,1,1,0,0,0.07635,0.02326,0,0,10,10.5,0,0,0,0.1002,0,0,0,5.46,1.68,1,0,2,4,0,0,0
288,288_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
289,3055,0,1,1,1.03424,-5.42818,0.01837,0.00603,0,0,10,10.5,0,0,0,0.1002,0,1.03424,0,1.16,0.4,1,0,2,4,1,0,0
290,6338,0,1,1,0,0,0.06026,0.00546,0,0,10,10.5,0,0,0,0.1202,0,0,0,5.33,0.21,1,0,2,5,0,0,0
291,296_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
292,6353,0,1,1,0,0,0.12424,0.05903,0,0,35,35,0,0,0,0,0,0,0,12.44,5.7,1,0,0,2,0,0,0
293,6354,0,1,1,0,0,0.042,0.02605,0,0,10,10.5,0,0,0,0.1202,0,0,0,4.22,1.76,1,0,2,5,0,0,0
294,297_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
295,3125,0,1,1,1.02073,-11.2819,0.08893,0.03502,0,0,10,10.5,0,0,0,0.1202,0,1.02073,0,9.09,3.44,1,0,2,7,1,0,0
296,298_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
297,3142,0,1,1,1.03048,-7.70026,0.03032,0.00925,0,0,10,10.5,0,0,0,0.096,0,1.03048,0,3.05,1.05,1,0,2,2,1,0,0
