ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
78,57,1,1,1,0,0.00618,0.04353,0.07649,0,0,0,0,0,0,0,0,0,0,0,0,-0.494352,-0.0768532,0.495611,-0.00676899,1,1,1,1
79,58,1,1,1,0,0.00618,0.04353,0.07649,0,0,0,0,0,0,0,0,0,0,0,0,-0.495504,-0.0763623,0.496768,-0.00722103,1,1,1,1
79,74,1,1,1,0,0.01054,0.06151,0.09306,0,0,0,0,0,0,0,0,0,0,0,0,-0.00604268,-0.0739955,0.00604582,-0.0381936,1,1,1,1
79,78,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316874,0.0940478,0.316876,-0.0940287,1,1,1,1
80,73,1,1,1,0,0.00105,0.01123,0.28195,0,0,0,0,0,0,0,0,0,0,0,0,-2.30289,0.718432,2.30867,-0.96552,1,1,1,1
81,80,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72335,0.0259012,3.72347,-0.0251467,1,1,1,1
83,49,1,1,1,0,0.0114,0.06587,0.09975,0,0,0,0,0,0,0,0,0,0,0,0,0.296013,0.0195861,-0.295128,-0.134482,1,1,1,1
83,51,1,1,1,0,0.00452,0.03366,0.05156,0,0,0,0,0,0,0,0,0,0,0,0,-0.571701,-0.04725,0.572921,-0.00629916,1,1,1,1
83,82,1,1,1,0,0.00134,0.00996,0.01337,0,0,0,0,0,0,0,0,0,0,0,0,0.275686,0.0276638,-0.2756,-0.0432173,1,1,1,1
84,67,1,1,1,0,0.00302,0.0201,0.03069,0,0,0,0,0,0,0,0,0,0,0,0,1.16851,-0.101689,-1.16495,0.0896018,1,1,1,1
89,88,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35308,0.512486,-1.35305,-0.512122,1,1,1,1
91,90,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17217,0.11455,0.17217,-0.114543,1,1,1,1
91,124,1,1,1,0,0.01093,0.05919,0.08439,0,0,0,0,0,0,0,0,0,0,0,0,-0.325214,-0.00118502,0.326176,-0.0975213,1,1,1,1
93,92,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.772441,-1.19002,0.772476,1.19039,1,1,1,1
94,89,1,1,1,0,0.00213,0.01403,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,1.35653,0.509049,-1.35287,-0.512486,1,1,1,1
95,92,1,1,1,0,0.00519,0.03839,0.05875,0,0,0,0,0,0,0,0,0,0,0,0,1.60115,0.804396,-1.58737,-0.772619,1,1,1,1
95,150,1,1,1,0,0.00192,0.01355,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0.370864,-0.0447666,-0.370648,0.0179578,1,1,1,1
97,96,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0547354,-0.0841737,0.0547355,0.0841755,1,1,1,1
97,130,1,1,1,0,0.00217,0.01459,0.02575,0,0,0,0,0,0,0,0,0,0,0,0,0.0547367,0.0841737,-0.0547133,-0.114901,1,1,1,1
99,44,1,1,1,0,0.00355,0.03617,0.95894,0,0,0,0,0,0,0,0,0,0,0,0,-2.30227,-0.202435,2.31969,-0.676776,1,1,1,1
99,98,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.13009,-0.514386,9.13084,0.518938,1,1,1,1
99,147,1,1,1,0,0.00213,0.02432,0.67744,0,0,0,0,0,0,0,0,0,0,0,0,-1.19641,0.186214,1.19978,-0.887262,1,1,1,1
99,3006,1,1,1,0,0.00293,0.03054,0.95472,0,0,0,0,0,0,0,0,0,0,0,0,6.57121,-0.395441,-6.45639,0.544558,1,1,1,1
100,114,1,1,1,0,0.0057,0.04149,0.06617,0,0,0,0,0,0,0,0,0,0,0,0,-1.4894,-0.33506,1.50111,0.344538,1,1,1,1
102,101,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368473,-0.0507906,-0.368471,0.0508142,1,1,1,1
103,107,1,1,1,0,0.00136,0.0099,0.01586,0,0,0,0,0,0,0,0,0,0,0,0,-1.00764,-0.326315,1.0089,0.31639,1,1,1,1
104,103,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.556519,-0.246851,0.556525,0.246915,1,1,1,1
106,94,1,1,1,0,0.00446,0.03041,0.04867,0,0,0,0,0,0,0,0,0,0,0,0,0.1044,-0.212877,-0.104237,0.154399,1,1,1,1
106,105,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234805,-0.322866,0.234808,0.322893,1,1,1,1
107,109,1,1,1,0,0.00075,0.02445,-0.00832,0,0,0,0,0,1.0647,0,0,0,0,0,0,-1.03212,-0.371852,1.03296,0.408459,1,1,1,1
108,85,1,1,1,0,0.00207,0.01279,0.02055,0,0,0,0,0,0,0,0,0,0,0,0,1.17219,0.412321,-1.16953,-0.420603,1,1,1,1
108,107,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.780736,0.0148242,0.780746,-0.0147183,1,1,1,1
108,110,1,1,1,0,0.0004,0.0253,0,0,0,0,0,0,1.0701,0,0,0,0,0,0,-0.994684,-0.588627,0.995189,0.620607,1,1,1,1
108,151,1,1,1,0,0.00083,0.00525,0.00868,0,0,0,0,0,0,0,0,0,0,0,0,0.717292,0.299338,-0.716876,-0.307189,1,1,1,1
109,40,1,1,1,0,0.00195,0.02103,0.5679,0,0,0,0,0,0,0,0,0,0,0,0,-1.73523,-0.33372,1.74062,-0.228644,1,1,1,1
110,109,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.702266,0.0747665,0.70227,-0.074739,1,1,1,1
110,146,1,1,1,0,0.00241,0.02782,0.77066,0,0,0,0,0,0,0,0,0,0,0,0,2.04145,-0.412492,-2.03222,-0.316817,1,1,1,1
112,111,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789334,0.0609563,-0.0789332,-0.0609546,1,1,1,1
113,144,1,1,1,0,0.00488,0.03362,0.05961,0,0,0,0,0,0,0,0,0,0,0,0,-1.69079,-0.692087,1.70454,0.715258,1,1,1,1
114,113,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.50113,-0.344538,1.50117,0.344965,1,1,1,1
115,95,1,1,1,0,0.00341,0.02442,0.03997,0,0,0,0,0,0,0,0,0,0,0,0,-1.29196,-0.23814,1.29679,0.223848,1,1,1,1
116,115,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17266,-0.0556325,1.17268,0.0558713,1,1,1,1
117,70,1,1,1,0,0.00374,0.0438,0.10096,0,0,0,0,0,0,0,0,0,0,0,0,0.242233,-0.419486,-0.241648,0.303816,1,1,1,1
117,87,1,1,1,0,0.00079,0.00488,0.00726,0,0,0,0,0,0,0,0,0,0,0,0,0.0818084,-0.00867434,-0.081804,4.90E-08,1,1,1,1
117,137,1,1,1,0,0.01589,0.0876,0.11682,0,0,0,0,0,0,0,0,0,0,0,0,-1.07593,0.197766,1.09222,-0.247675,1,1,1,1
118,86,1,1,1,0,0.00079,0.00488,0.00724,0,0,0,0,0,0,0,0,0,0,0,0,0.0935104,-0.00864183,-0.0935046,5.64E-08,1,1,1,1
118,117,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259854,-0.0677948,-0.259853,0.0678074,1,1,1,1
119,93,1,1,1,0,0.00159,0.01112,0.01913,0,0,0,0,0,0,0,0,0,0,0,0,-0.769563,-1.20986,0.772432,1.20813,1,1,1,1
120,88,1,1,1,0,0.01122,0.07074,0.11571,0,0,0,0,0,0,0,0,0,0,0,0,-0.579632,-0.549036,0.585318,0.449853,1,1,1,1
120,119,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141976,-0.137855,0.141977,0.137863,1,1,1,1
121,101,1,1,1,0,0.00145,0.01008,0.01719,0,0,0,0,0,0,0,0,0,0,0,0,0.552409,0.0808193,-0.55204,-0.0994048,1,1,1,1
122,112,1,1,1,0,0.00384,0.02721,0.04517,0,0,0,0,0,0,0,0,0,0,0,0,-0.0557058,0.107763,0.0557728,-0.162786,1,1,1,1
122,121,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275659,-0.0262466,-0.275657,0.0262597,1,1,1,1
123,105,1,1,1,0,0.00171,0.00961,0.01424,0,0,0,0,0,0,0,0,0,0,0,0,0.265433,0.609892,-0.264804,-0.623812,1,1,1,1
123,150,1,1,1,0,0.00279,0.02017,0.03204,0,0,0,0,0,0,0,0,0,0,0,0,0.0138918,-0.00743101,-0.013891,-0.0320306,1,1,1,1
123,151,1,1,1,0,0.00537,0.04039,0.06005,0,0,0,0,0,0,0,0,0,0,0,0,0.972702,0.175738,-0.968381,-0.216436,1,1,1,1
124,111,1,1,1,0,0.00194,0.01415,0.0223,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104871,0.234229,0.0105841,-0.26092,1,1,1,1
124,123,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0461,-0.0995337,-1.04608,0.0997219,1,1,1,1
125,107,1,1,1,0,0.0039,0.02847,0.04498,0,0,0,0,0,0,0,0,0,0,0,0,-0.690232,-0.0817003,0.691789,0.0388248,1,1,1,1
126,116,1,1,1,0,0.00316,0.02378,0.03527,0,0,0,0,0,0,0,0,0,0,0,0,-1.17471,-0.0708308,1.17835,0.0556325,1,1,1,1
126,125,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.792144,0.279522,0.792156,-0.279399,1,1,1,1
127,135,1,1,1,0,0.00601,0.04147,0.07364,0,0,0,0,0,0,0,0,0,0,0,0,-1.20599,-0.5888,1.21504,0.563174,1,1,1,1
129,96,1,1,1,0,0.00777,0.04128,0.06391,0,0,0,0,0,0,0,0,0,0,0,0,0.132313,-0.239982,-0.131931,0.165726,1,1,1,1
129,128,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132324,0.239982,0.132326,-0.239969,1,1,1,1
131,94,1,1,1,0,0.00463,0.02775,0.04612,0,0,0,0,0,0,0,0,0,0,0,0,-0.908917,-0.42974,0.912734,0.396643,1,1,1,1
131,130,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909045,0.42974,-0.909028,-0.429563,1,1,1,1
132,147,1,1,1,0,0.00092,0.01051,0.29293,0,0,0,0,0,0,0,0,0,0,0,0,-1.16288,0.123801,1.16409,-0.42714,1,1,1,1
