tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit,ioff,joff
74,72,1,1,1,0,0.000543,0.021064,0.034538,0,0,0,0,0,0,0,0,0,0,0,0,-0.00362,0.04857,0.00362,-0.11726,1820.800049,0,0
75,76,1,1,1,0,0.00225,0.012787,0.027743,0,0,0,0,0,0,0,0,0,0,0,0,0.2182,0.05229,-0.21808,-0.10708,910.400024,0,0
75,76,1,1,1,0,0.002222,0.012762,0.02825,0,0,0,0,0,0,0,0,0,0,0,0,0.21855,0.05235,-0.21843,-0.10816,910.400024,0,0
77,78,1,1,1,0,0.000958,0.007471,0.013397,0,0,0,0,0,0,0,0,0,0,0,0,-0.99432,0.15367,0.9953,-0.17288,1820.800049,0,0
79,80,1,1,1,0,0.004602,0.025304,0.024299,0,0,0,0,0,0,0,0,0,0,0,0,0.26617,-0.1883,-0.26572,0.14176,910.400024,0,0
79,81,1,1,1,0,0.001466,0.008822,0.016361,0,0,0,0,0,0,0,0,0,0,0,0,0.20628,-0.04836,-0.20622,0.01585,1563.612061,0,0
62,82,1,1,1,0,0.007183,0.039792,0.037697,0,0,0,0,0,0,0,0,0,0,0,0,-0.92584,0.05655,0.93204,-0.0982,910.400024,0,0
83,79,1,1,1,0,0.002399,0.012967,0.01666,0,0,0,0,0,0,0,0,0,0,0,0,-0.8948,-0.04827,0.89672,0.02526,1820.800049,0,0
84,79,1,1,1,0,0.001156,0.011777,0.024667,0,0,0,0,0,0,0,0,0,0,0,0,-1.15139,0.72284,1.15353,-0.75103,2430.800049,0,0
84,79,1,1,1,0,0.001111,0.011928,0.024484,0,0,0,0,0,0,0,0,0,0,0,0,-1.14104,0.70817,1.14305,-0.73624,2430.800049,0,0
