bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
3901,513_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3902,5787,0,1,1,0.992036,-10.6572,0.01021,0.01255,0,0,35,35,0,0,0,0,0,37.201,0,0,0,1,0,0,1
3903,5804,0,1,2,1.0515,-7.09834,0,0,0.12185,0.02212,10,10.5,32.22,-32.22,0,0,0,11.041,0,12.185,2.212,1,2,0,0
3904,5806,0,1,2,1.01541,-12.4726,0,0,0.0842,-0.00426,10,10.5,11.62,-11.62,0,0,0,10.662,0,8.42,-0.426,1,2,0,0
3905,523_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3906,5811,0,1,1,0.993462,-17.9849,-0.00045,0.00145,0,0,35,35,0,0,0,0,0,0,0,0,0,1,0,0,1
3907,5813,0,1,2,1.06476,-17.2143,0,0,0.2011,0.0061,10,10.5,18.59,-18.59,0,0,0,0,0,20.11,0.61,1,1,0,0
3908,5914,0,1,2,0.984072,0.459582,0,0,0.05307,0.02695,10,10.5,10,0,0,0,0,10.333,0.46,5.307,2.695,1,2,0,0
3909,5916,0,1,2,0.978207,0.021973,0,0,0.01728,0.00416,10,10.5,2,-2,0,0,0,0,0,1.728,0.416,1,1,0,0
3910,5917,0,1,2,0.979598,0.280362,0,0,0.03731,0.00837,6,6,10,0,0,0,0,6.171,0.28,3.731,0.837,1,2,0,0
3911,5919,0,1,2,1.05318,-11.6873,0,0,0.08894,0.00091,6,6,14.88,-14.88,0,0,0,6.635,0,8.894,0.091,1,2,0,0
3912,5921,0,1,2,1.01168,-0.885878,0,0,0.1266,0.01374,10,10.5,12.4,-12.4,0,0,0,10.623,0,12.66,1.374,1,2,0,0
3913,5923,0,1,2,0.978658,2.13704,0,0,0.06017,0.01612,10,10.5,12.4,-12.4,0,0,0,10.276,2.137,6.017,1.612,1,2,0,0
3914,5927,0,1,2,1.02592,3.15198,0,0,0.17307,-0.01132,10,10.5,11.88,-11.88,0,0,0,10.772,3.152,17.307,-1.132,1,2,0,0
3915,5950,0,1,2,1.00645,3.9911,0,0,0.19818,-0.02924,10,10.5,17,-10,0,0,0,0,0,19.818,-2.924,1,1,0,0
