tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit
26,31,莆田.上峤线,1,1,0,0.007435,0.029739,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.670000,3.350000,-13.580000,-3.750000,0.000000
9,32,莆田.盖鲤Ⅱ路,1,1,0,0.005059,0.020237,0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.270000,3.080000,-14.070000,-4.070000,0.000000
33,3,莆田.栖石Ⅰ路,1,1,0,0.000858,0.004380,0.005030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102.550003,12.150000,-102.169998,-15.000000,0.000000
34,35,莆田.栖秀线,1,1,0,0.005643,0.022573,0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.560000,-1.290000,-9.440000,1.000000,0.000000
9,36,莆田.盖郊Ⅱ路,1,1,0,0.004894,0.019577,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.640000,-2.550000,-2.930000,0.500000,0.000000
29,33,莆田.湄栖线,1,1,0,0.001624,0.009682,0.002281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117.419998,6.580000,-117.910004,-11.080000,0.000000
23,37,莆田.新东线,1,1,0,0.009013,0.036053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.780000,-4.090000,-9.560000,1.070000,0.000000
20,38,莆田.涵渭Ⅰ路,1,1,0,0.001015,0.005773,0.002572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.120001,-5.090000,-25.950001,0.000000,0.000000
20,38,莆田.涵渭Ⅱ路,1,1,0,0.001032,0.005756,0.002572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.120001,-5.360000,-25.950001,2.790000,0.000000
38,17,莆田.渭荔Ⅱ路,1,1,0,0.000599,0.003112,0.001816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.470001,-3.350000,-40.990002,1.470000,0.000000
